Account,date,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,num_trades,total_volume_usd,avg_trade_size_usd,total_fees,avg_trade_size_tokens,win_rate,long_short_ratio,value,classification
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,0.0,0.0,0.0,0.0,15,34998.8,2333.2533,0.1296,86.3933,0.0,,74.0,Greed
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.7928,64.2355,435.4501,-8733.3925,8143.0807,3056,6875178.28,2249.7311,884.1886,1166.9296,0.28763089005235604,0.3172,44.0,Fear
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.9176,-237.8594,2780.0869,-83056.32,3267.5882,1530,3233581.05,2113.4517,695.0672,1903.9148,0.5764705882352941,0.0,,Unknown
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.7177,0.217,21.1251,-75.3815,131.3122,54,50397.38,933.2848,4.4069,3644.2109,0.037037037037037035,15.0,74.0,Greed
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.17,35.7992,335.0764,-1457.7349,8424.2571,1802,11629308.63,6453.5564,3297.2099,603.4172,0.3401775804661487,1.179,44.0,Fear
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.7703,18.0322,82.6145,-29.485,539.2277,55,319467.36,5808.4975,83.2654,45.9706,0.2909090909090909,9.0,,Unknown
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.1573,-2.3951,78.3529,-2806.5,587.303,3810,2942740.7,772.3729,903.6897,1548.5699,0.32545931758530183,0.0996,50.0,Neutral
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.3779,22.161,124.5696,-112.9958,2222.8881,1804,2483772.71,1376.8141,810.3982,3747.996,0.32427937915742794,0.0034,74.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.3582,8.2573,51.7536,-101.5586,2766.4435,5602,3688147.16,658.3626,1182.5227,3014.4339,0.30739021777936454,0.2668,44.0,Fear
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.5698,-8.7767,27.1417,-389.1877,293.3504,3782,3190126.27,843.5025,895.9324,22951.1843,0.10100475938656796,0.0029,,Unknown
